Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.720521	0.527124	72.843333	81.370000	
0.100000	0.440142	0.360970	83.713333	86.510000	
0.100000	0.369820	0.414432	86.376667	86.200000	
0.100000	0.339290	0.352921	87.485000	86.840000	
0.100000	0.325812	0.343155	88.080000	87.790000	
0.100000	0.318463	0.334362	88.385000	87.660000	
0.100000	0.304396	0.316178	88.850000	88.660000	
0.100000	0.299186	0.270177	89.090000	90.220000	
0.100000	0.293354	0.247323	89.326667	91.100000	
0.100000	0.287831	0.257067	89.516667	90.690000	
0.100000	0.287314	0.237228	89.490000	91.170000	
0.100000	0.284383	0.381065	89.648333	86.650000	
0.100000	0.279963	0.288630	89.803333	89.720000	
0.100000	0.272264	0.231827	90.141667	91.520000	
0.100000	0.274307	1.320420	89.968333	70.510000	
0.100000	0.272360	0.264825	90.153333	90.730000	
0.100000	0.267637	0.244005	90.350000	91.000000	
0.100000	0.268720	0.323537	90.351667	88.630000	
0.100000	0.267304	0.217332	90.256667	92.140000	
0.100000	0.261759	0.253113	90.570000	90.800000	
0.100000	0.259582	0.246378	90.596667	91.300000	
0.100000	0.262235	0.258191	90.556667	90.850000	
0.100000	0.258677	0.276929	90.705000	90.490000	
0.100000	0.256108	0.244154	90.760000	91.320000	
0.100000	0.255201	0.234421	90.820000	91.360000	
0.100000	0.252087	0.244850	90.843333	91.430000	
0.100000	0.257725	0.248653	90.713333	91.200000	
0.100000	0.251914	0.204665	90.908333	92.860000	
0.100000	0.255892	0.284825	90.788333	89.520000	
0.100000	0.245902	0.222969	91.198333	91.700000	
0.100000	0.249705	0.219662	91.015000	92.020000	
0.100000	0.251475	0.216632	91.018333	92.090000	
0.100000	0.246515	0.236423	91.028333	91.540000	
0.100000	0.247299	0.231684	91.121667	91.730000	
0.100000	0.248303	0.196740	90.965000	92.970000	
0.100000	0.247643	0.275492	91.085000	90.090000	
0.100000	0.247840	0.262780	91.083333	90.470000	
0.100000	0.249690	0.224908	91.071667	91.970000	
0.100000	0.246670	0.258555	91.083333	91.080000	
0.100000	0.247910	0.245913	91.115000	91.350000	
0.100000	0.244588	0.263037	91.055000	90.940000	
0.100000	0.242807	0.232927	91.140000	91.550000	
0.100000	0.246656	0.230622	90.923333	91.900000	
0.100000	0.242654	0.239006	91.261667	91.530000	
0.100000	0.240987	0.220349	91.256667	92.200000	
0.100000	0.240891	0.267833	91.291667	90.770000	
0.100000	0.245083	0.225137	91.125000	91.940000	
0.100000	0.239523	0.228694	91.361667	91.780000	
0.100000	0.245894	0.265754	91.196667	90.870000	
0.100000	0.241870	0.311599	91.318333	89.860000	
0.100000	0.240157	0.207664	91.316667	92.730000	
0.100000	0.240443	0.244198	91.330000	91.050000	
0.100000	0.239257	0.241619	91.348333	91.260000	
